A0A024FLK4	Os03g0305500
A0A0N7KJL1	Os04g0588200
A0A0N7KKW4	Os05g0453900
A0A0N7KQS6	Os09g0410500
A0A0P0UY00	Os01g0126600
A0A0P0VBP6	Os01g0901300
A0A0P0VHT9	Os02g0293300
A0A0P0VJF3	Os02g0511901
A0A0P0VJF5	Os02g0511900
A0A0P0VLA0	Os02g0593100
A0A0P0W6Y1	Os04g0136200
A0A0P0W8J1	Os04g0269600
A0A0P0WHT3	Os05g0143400
A0A0P0WIA1	Os05g0160800
A0A0P0WL92	Os05g0358200
A0A0P0WW75	Os06g0345200
A0A0P0X0C0	Os06g0670300
A0A0P0XGT7	Os08g0466050
A0A0P0XII1	Os08g0538300
A0A0P0XM10	Os09g0368200
A0A0P0XQP4	Os09g0539400
A0A0P0XR34	Os09g0540800
A0A0P0Y4R5	Os11g0644800
A0A0P0Y4U5	Os11g0600900
A0A0P0Y689	Os12g0113700
A2X747	Os02g0611800
A2XPN8	Os04g0111200
A2XU70	Os04g0457800
A2Y626	Os05g0494000
A2Y8A8	Os06g0104300
A2ZRY8	Os01g0286900
A2ZWY2	Os01g0700900
A2ZWY7	Os01g0701500
A3A4X1	Os02g0236200
A3A871	Os02g0570500
A3AAR2	Os02g0717700
A3AQC6	Os04g0117900
A3AZW5	Os05g0144900
A3B9A0	Os06g0196700
A3BJI6	Os07g0464700
A3BWY6	Os09g0287000
A3BZ14	Os09g0427800
A3C039	Os09g0486500
A3C057	Os09g0491532
A3C4N5	Os10g0410600
A3C4S4	Os10g0417600
A3C6G9	Os10g0516100
A3C7W7	Os11g0111800
A3CDR8	Os11g0668300
A4KAG8	Os02g0571800
A4LBC0	Os01g0713600
A9CM06	Os02g0306401
B2ZX90	Os01g0896300
B3IYE3	Os03g0758100
B7E8M5	Os04g0177400
B7EA04	Os04g0613700
B7EAY1	Os02g0473000
B7EHL9	Os11g0191300
B7EJ81	Os09g0475400
B7EM10	Os09g0491740
B7ERE7	Os09g0555700
B7F4K3	Os01g0354200
B7F7B9	Os02g0184400
B7F8P7	Os09g0572000
B7F8T0	Os05g0305200
B7F924	Os01g0508100
B7F956	Os01g0227700
B7F958	Os03g0604200
B7F9K3	Os09g0565600
B7FA07	Os09g0375000
B7FA24	Os01g0803900
B7FA34	Os05g0548900
B7FA90	Os06g0658900
B7FA99	Os02g0302200
B7FAE9	Os06g0185900
B7FAP2	Os01g0179600
B8ACC6	Os01g0640600
B8AG62	Os02g0107200
B8AHI9	Os02g0467700
B8AT82	Os04g0390000
B8AY22	Os05g0400800
B8AZ97	Os05g0475400
B8B8K7	Os07g0617800
B8BB38	Os08g0441500
B8BF84	Os09g0397300
B9EUK4	Os01g0236300
B9EXM2	Os01g0570700
B9EZJ8	Os01g0732700
B9F3B6	Os02g0173900
B9F4I8	Os02g0819400
