HORVU0Hr1G000020	MLOC_55443
HORVU0Hr1G000030	MLOC_5296
HORVU0Hr1G000200	MLOC_38210
HORVU0Hr1G000250	MLOC_14978
HORVU0Hr1G000280	MLOC_23254
HORVU0Hr1G000410	MLOC_10103
HORVU0Hr1G000420	MLOC_51723
HORVU0Hr1G000600	MLOC_53880
HORVU0Hr1G000620	MLOC_16345
HORVU0Hr1G001400	MLOC_37136
HORVU0Hr1G001400	MLOC_6859
HORVU0Hr1G001440	MLOC_10933
HORVU0Hr1G001470	MLOC_80177
HORVU0Hr1G001490	MLOC_53469
HORVU0Hr1G001510	MLOC_18667
HORVU0Hr1G001530	MLOC_77003
HORVU0Hr1G001570	MLOC_14907
HORVU0Hr1G001750	MLOC_64196
HORVU0Hr1G001880	MLOC_71318
HORVU0Hr1G002320	MLOC_32693
HORVU0Hr1G002580	MLOC_60459
HORVU0Hr1G002630	MLOC_57791
HORVU0Hr1G002930	MLOC_57550
HORVU0Hr1G003020	MLOC_38061
HORVU0Hr1G003040	MLOC_3046
HORVU0Hr1G003260	MLOC_80143
HORVU0Hr1G003280	MLOC_14666
HORVU0Hr1G003840	MLOC_63966
HORVU0Hr1G003890	MLOC_34830
HORVU0Hr1G004640	MLOC_56057
HORVU0Hr1G004690	MLOC_5895
HORVU0Hr1G004700	MLOC_21004
HORVU0Hr1G004790	MLOC_14572
HORVU0Hr1G004800	MLOC_41062
HORVU0Hr1G004830	MLOC_44511
HORVU0Hr1G005010	MLOC_13761
HORVU0Hr1G005020	MLOC_52337
HORVU0Hr1G005070	MLOC_18443
HORVU0Hr1G005150	MLOC_77309
HORVU0Hr1G005160	MLOC_67489
HORVU0Hr1G005250	MLOC_72436
HORVU0Hr1G005300	MLOC_61497
HORVU0Hr1G005330	MLOC_71420
HORVU0Hr1G005350	MLOC_43713
HORVU0Hr1G005480	MLOC_36784
HORVU0Hr1G005680	MLOC_60799
HORVU0Hr1G005700	MLOC_61444
HORVU0Hr1G005860	MLOC_22287
HORVU0Hr1G005920	MLOC_69940
HORVU0Hr1G005960	MLOC_14318
HORVU0Hr1G006120	MLOC_37655
HORVU0Hr1G006130	MLOC_63238
HORVU0Hr1G006630	MLOC_662
HORVU0Hr1G007220	MLOC_24920
