v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name	Source
Zm00001eb000010	Zm00001d027230	GRMZM2G060082	LOC103644366		Gene Model - MaizeGDB
Zm00001eb000020	Zm00001d027231	GRMZM2G059865	pco082477		Gene Model - MaizeGDB
Zm00001eb000050	Zm00001d027234		Zm00001eb000050		<i>unknown</i>
Zm00001eb000060	Zm00001d027239	EZ065531.1 	bnlg149		GenBank
Zm00001eb000060	Zm00001d027239	EZ090992.1 	bnlg149		GenBank
Zm00001eb000060	Zm00001d027239	GRMZM5G833153	bnlg149		Gene Model - MaizeGDB
Zm00001eb000070	Zm00001d027240	GRMZM2G306216	Zm00001eb000070		Gene Model - MaizeGDB
Zm00001eb000080	Zm00001d027242	EF472248	gbss2	granule-bound starch synthase2	GenBank
Zm00001eb000100	Zm00001d027244	GRMZM2G006376	LOC103630233		Gene Model - MaizeGDB
Zm00001eb000110			Zm00001eb000110		<i>unknown</i>
Zm00001eb000120		GRMZM2G023888	Zm00001eb000120		Gene Model - MaizeGDB
Zm00001eb000150	Zm00001d027250	GRMZM2G023794	Zm00001d027250		Gene Model - MaizeGDB
Zm00001eb000170	Zm00001d027257	GRMZM2G330436	LOC100276289		Gene Model - MaizeGDB
Zm00001eb000190	Zm00001d027259	GRMZM2G032104	LOC100278565		Gene Model - MaizeGDB
Zm00001eb000190	Zm00001d027259	GRMZM2G399700	LOC100278565		Gene Model - MaizeGDB
Zm00001eb000200	Zm00001d027258	GRMZM2G333069	Zm00001d027258		Gene Model - MaizeGDB
Zm00001eb000210	Zm00001d027265	GRMZM2G172183	mha11	membrane H(+)-ATPase11	Gene Model - MaizeGDB
Zm00001eb000220	Zm00001d027266	GRMZM2G073979	si486065g06		Gene Model - MaizeGDB
Zm00001eb000230	Zm00001d027267	GRMZM2G374779	pco071167a		Gene Model - MaizeGDB
Zm00001eb000240	Zm00001d027268	GRMZM2G374812	stp3	sugar transport protein3	Gene Model - MaizeGDB
Zm00001eb000320	Zm00001d027276	GRMZM2G002121	LOC103630457		Gene Model - MaizeGDB
Zm00001eb000330	Zm00001d027277	GRMZM2G026639	gpm923		Gene Model - MaizeGDB
Zm00001eb000340	Zm00001d027278		thk1	thick aleurone1	<i>unknown</i>
Zm00001eb000380	Zm00001d027283	AF332176	expb3	beta expansin3	GenBank
Zm00001eb000380	Zm00001d027283	EU972209	expb3	beta expansin3	GenBank
Zm00001eb000380	Zm00001d027283	EU974181	expb3	beta expansin3	GenBank
Zm00001eb000380	Zm00001d027283	GRMZM2G474194	expb3	beta expansin3	Gene Model - MaizeGDB
Zm00001eb000390	Zm00001d027285	GRMZM2G161483	npf4	nitrate transporter/peptide transporter family4	Gene Model - MaizeGDB
Zm00001eb000420	Zm00001d027288	EU944117 	umc1613		GenBank
Zm00001eb000420	Zm00001d027288	EU947333   	umc1613		GenBank
Zm00001eb000420	Zm00001d027288	EU973797  	umc1613		GenBank
