VIT_01s0011g00230	Vitvi01g00024	Vitis01g00019
VIT_01s0011g00410	Vitvi01g00037	Vitis01g00036
VIT_01s0011g00690	Vitvi01g00061	Vitis01g00060
VIT_01s0011g01290	Vitvi01g00103	Vitis01g00127
VIT_01s0011g01320	Vitvi01g00106	Vitis01g00131
VIT_01s0011g01480	Vitvi01g00119	Vitis01g00143
VIT_01s0011g01990	Vitvi01g00157	Vitis01g00189
VIT_01s0011g02020	Vitvi01g00159	-
VIT_01s0011g02200	Vitvi01g00175	Vitis01g00209
VIT_01s0011g02230	Vitvi01g00178	Vitis01g00211
VIT_01s0011g03070	Vitvi01g00244	Vitis01g00289
VIT_01s0011g03090	Vitvi01g00246	Vitis01g00291
VIT_01s0011g03500	Vitvi01g00286	Vitis01g00327
VIT_01s0011g03520	Vitvi01g00288	Vitis01g00329
VIT_01s0011g04350	Vitvi01g00360	Vitis01g00419
VIT_01s0011g04370	Vitvi01g00362	Vitis01g00422
VIT_01s0011g04400	Vitvi01g00366	-
VIT_01s0011g04520	Vitvi01g00376	Vitis01g00438
VIT_01s0011g04630	Vitvi01g00385	Vitis01g00448
VIT_01s0011g04640	Vitvi01g00386	Vitis01g00449
VIT_01s0011g04800	Vitvi01g00405	Vitis01g00466
VIT_01s0011g04860	Vitvi01g00411	Vitis01g00473
VIT_01s0011g05200	Vitvi01g00441	Vitis01g00517
VIT_01s0011g05210	Vitvi01g00442	Vitis01g00518
VIT_01s0011g05220	Vitvi01g00443	-
VIT_01s0011g05260	Vitvi01g00446	Vitis01g00520
VIT_01s0011g05370	Vitvi01g00455	Vitis01g00532
VIT_01s0011g05860	Vitvi01g00502	Vitis01g00589
VIT_01s0011g05960	Vitvi01g00509	Vitis01g00601
VIT_01s0011g06260	Vitvi01g00536	-
VIT_01s0011g06400	Vitvi01g00552	Vitis01g00648
VIT_01s0011g06610	Vitvi01g02013	Vitis01g00673
VIT_01s0137g00080	Vitvi01g04135	Vitis01g00684
VIT_00s0225g00090	Vitvi01g00658	Vitis01g00777
VIT_00s0225g00130	Vitvi01g00662	Vitis01g00782
VIT_00s0225g00140	Vitvi01g00663	Vitis01g00783
VIT_00s0225g00150	Vitvi01g00664	Vitis01g00784
VIT_00s0225g00230	Vitvi01g00672	Vitis01g00795
VIT_01s0127g00420	Vitvi01g00711	Vitis01g00837
VIT_01s0127g00490	Vitvi01g00716	Vitis01g00847
VIT_01s0127g00720	Vitvi01g00735	Vitis01g00865
VIT_01s0127g00750	Vitvi01g00739	Vitis01g00868
VIT_01s0127g00770	Vitvi01g00740	-
VIT_01s0127g00780	Vitvi01g00741	Vitis01g00869
VIT_01s0127g00800	Vitvi01g00742	Vitis01g00870
VIT_01s0127g00860	Vitvi01g00746	Vitis01g00875
VIT_01s0026g00210	Vitvi01g00785	-
VIT_01s0026g00220	Vitvi01g00787	Vitis01g00916
VIT_01s0026g00280	Vitvi01g00793	Vitis01g00927
VIT_01s0026g00380	Vitvi01g02082	Vitis01g00938
VIT_01s0026g00710	Vitvi01g00830	Vitis01g00968
VIT_01s0026g01080	Vitvi01g00870	Vitis01g01012
VIT_01s0026g01650	Vitvi01g00930	Vitis01g01061
VIT_01s0026g02290	Vitvi01g00992	Vitis01g01124
VIT_01s0026g02310	Vitvi01g00993	Vitis01g01125
VIT_01s0182g00160	Vitvi01g01079	-
VIT_01s0010g00480	Vitvi01g01280	Vitis01g01379
VIT_01s0010g00950	Vitvi01g01346	Vitis01g01438
VIT_01s0010g01110	Vitvi01g01361	-
VIT_01s0010g02030	Vitvi01g01476	Vitis01g01585
VIT_01s0010g02090	Vitvi01g01492	Vitis01g01601
VIT_01s0010g02100	Vitvi01g01493	-
VIT_01s0010g02350	Vitvi01g01521	Vitis01g01637
VIT_01s0010g02460	Vitvi01g01538	Vitis01g01650
VIT_01s0010g02690	Vitvi01g01559	Vitis01g01673
VIT_01s0010g03300	Vitvi01g01618	Vitis01g01767
VIT_01s0010g03940	Vitvi01g01682	Vitis01g01839
VIT_01s0146g00450	Vitvi01g01738	Vitis01g01898
VIT_01s0244g00140	Vitvi01g01758	Vitis01g01917
VIT_01s0150g00390	Vitvi01g01799	Vitis01g01957
VIT_02s0025g00270	Vitvi02g00023	Vitis02g00026
VIT_02s0025g00370	Vitvi02g00034	-
VIT_02s0025g00510	Vitvi02g00048	Vitis02g00054
VIT_02s0025g01280	Vitvi02g00114	Vitis02g00123
VIT_02s0025g01560	Vitvi02g00143	Vitis02g00155
VIT_02s0025g01580	Vitvi02g00145	Vitis02g00158
VIT_02s0025g02150	Vitvi02g00188	Vitis02g00213
VIT_02s0025g02170	Vitvi02g00191	Vitis02g00218
VIT_02s0025g02500	Vitvi02g01365	-
VIT_02s0025g02510	Vitvi02g04050	Vitis02g00249
VIT_02s0025g03260	Vitvi02g00295	Vitis02g00318
VIT_02s0025g03310	Vitvi02g00301	Vitis02g00324
VIT_02s0025g03410	Vitvi02g00313	Vitis02g00335
VIT_02s0025g04000	Vitvi02g00370	-
VIT_02s0025g04140	Vitvi02g00383	Vitis02g00419
VIT_02s0025g04170	Vitvi02g00387	Vitis02g00423
VIT_02s0025g04440	Vitvi02g04095	Vitis02g00454
VIT_02s0025g04460	Vitvi02g00407	-
VIT_02s0025g04580	Vitvi02g00420	Vitis02g00468
VIT_02s0025g04720	Vitvi02g00435	Vitis02g00483
VIT_02s0025g04910	Vitvi02g00449	Vitis02g00507
VIT_02s0025g04930	Vitvi02g00451	Vitis02g00510
VIT_02s0154g00090	Vitvi02g00512	Vitis02g00588
VIT_00s0229g00140	Vitvi02g00569	-
VIT_00s0229g00180	Vitvi02g00573	-
VIT_00s0551g00010	Vitvi02g01713	Vitis02g00657
VIT_02s0012g00290	Vitvi02g01471	Vitis02g00809
VIT_02s0012g00620	Vitvi02g00642	Vitis02g00852
VIT_02s0012g01120	Vitvi02g00680	Vitis02g00898
VIT_02s0012g01140	Vitvi02g00682	Vitis02g00899
VIT_02s0012g01210	Vitvi02g00688	Vitis02g00905
VIT_02s0012g01320	Vitvi02g00698	Vitis02g00912
VIT_02s0012g01640	Vitvi02g00724	Vitis02g00947
VIT_02s0012g01800	Vitvi02g00738	Vitis02g00960
VIT_02s0012g02160	Vitvi02g00785	Vitis02g01014
VIT_02s0109g00080	Vitvi02g00915	Vitis02g01155
VIT_02s0109g00430	Vitvi02g00963	Vitis02g01201
