HORVU.MOREX.r3.1HG0000030	HORVU1Hr1G000030
HORVU.MOREX.r3.1HG0000040	HORVU1Hr1G000020
HORVU.MOREX.r3.1HG0000050	HORVU1Hr1G000010
HORVU.MOREX.r3.1HG0000060	HORVU1Hr1G000060
HORVU.MOREX.r3.1HG0000070	HORVU1Hr1G000080
HORVU.MOREX.r3.1HG0000080	HORVU1Hr1G000090
HORVU.MOREX.r3.1HG0000090	HORVU1Hr1G000110
HORVU.MOREX.r3.1HG0000110	HORVU1Hr1G000140
HORVU.MOREX.r3.1HG0000130	HORVU1Hr1G000290
HORVU.MOREX.r3.1HG0000140	HORVU1Hr1G000270
HORVU.MOREX.r3.1HG0000210	HORVU1Hr1G000260
HORVU.MOREX.r3.1HG0000220	HORVU1Hr1G000250
HORVU.MOREX.r3.1HG0000230	HORVU1Hr1G000240
HORVU.MOREX.r3.1HG0000240	HORVU1Hr1G000230
HORVU.MOREX.r3.1HG0000250	HORVU1Hr1G000210
HORVU.MOREX.r3.1HG0000260	HORVU1Hr1G000160
HORVU.MOREX.r3.1HG0000270	HORVU1Hr1G000170
HORVU.MOREX.r3.1HG0000280	HORVU1Hr1G000190
HORVU.MOREX.r3.1HG0000340	HORVU1Hr1G000320
HORVU.MOREX.r3.1HG0000360	HORVU1Hr1G000370
HORVU.MOREX.r3.1HG0000390	HORVU1Hr1G000340
HORVU.MOREX.r3.1HG0000520	HORVU1Hr1G000350
HORVU.MOREX.r3.1HG0000580	HORVU0Hr1G000020
HORVU.MOREX.r3.1HG0000620	HORVU1Hr1G000530
HORVU.MOREX.r3.1HG0000630	HORVU1Hr1G000520
HORVU.MOREX.r3.1HG0000660	HORVU1Hr1G000620
HORVU.MOREX.r3.1HG0000670	HORVU1Hr1G000600
HORVU.MOREX.r3.1HG0000680	HORVU1Hr1G000590
HORVU.MOREX.r3.1HG0000690	HORVU1Hr1G000560
HORVU.MOREX.r3.1HG0000710	HORVU1Hr1G000550
HORVU.MOREX.r3.1HG0000730	HORVU1Hr1G000660
HORVU.MOREX.r3.1HG0000800	HORVU1Hr1G000680
HORVU.MOREX.r3.1HG0000810	HORVU1Hr1G000700
HORVU.MOREX.r3.1HG0000850	HORVU1Hr1G000710
HORVU.MOREX.r3.1HG0000870	HORVU1Hr1G000720
HORVU.MOREX.r3.1HG0000880	HORVU1Hr1G000720
HORVU.MOREX.r3.1HG0000950	HORVU1Hr1G000810
HORVU.MOREX.r3.1HG0000990	HORVU1Hr1G000830
HORVU.MOREX.r3.1HG0001010	HORVU1Hr1G000910
HORVU.MOREX.r3.1HG0001020	HORVU1Hr1G000900
HORVU.MOREX.r3.1HG0001030	HORVU1Hr1G000860
HORVU.MOREX.r3.1HG0001050	HORVU1Hr1G000920
HORVU.MOREX.r3.1HG0001110	HORVU1Hr1G001080
HORVU.MOREX.r3.1HG0001120	HORVU1Hr1G000940
HORVU.MOREX.r3.1HG0001130	HORVU1Hr1G000960
HORVU.MOREX.r3.1HG0001140	HORVU1Hr1G001090
HORVU.MOREX.r3.1HG0001190	HORVU1Hr1G001060
HORVU.MOREX.r3.1HG0001210	HORVU1Hr1G000990
HORVU.MOREX.r3.1HG0001330	HORVU1Hr1G001350
HORVU.MOREX.r3.1HG0001400	HORVU1Hr1G001390
HORVU.MOREX.r3.1HG0001410	HORVU1Hr1G001400
HORVU.MOREX.r3.1HG0001420	HORVU1Hr1G001420
HORVU.MOREX.r3.1HG0001450	HORVU1Hr1G001440
HORVU.MOREX.r3.1HG0001460	HORVU1Hr1G001450
HORVU.MOREX.r3.1HG0001470	HORVU1Hr1G001460
HORVU.MOREX.r3.1HG0001480	HORVU1Hr1G001480
HORVU.MOREX.r3.1HG0001510	HORVU1Hr1G001490
HORVU.MOREX.r3.1HG0001540	HORVU1Hr1G001500
HORVU.MOREX.r3.1HG0001670	HORVU0Hr1G000050
HORVU.MOREX.r3.1HG0001800	HORVU0Hr1G039890
HORVU.MOREX.r3.1HG0001890	HORVU1Hr1G001660
HORVU.MOREX.r3.1HG0001920	HORVU1Hr1G001510
HORVU.MOREX.r3.1HG0001930	HORVU1Hr1G001510
HORVU.MOREX.r3.1HG0001950	HORVU1Hr1G001580
HORVU.MOREX.r3.1HG0001980	HORVU1Hr1G001700
HORVU.MOREX.r3.1HG0001990	HORVU1Hr1G001680
HORVU.MOREX.r3.1HG0002010	HORVU1Hr1G001570
HORVU.MOREX.r3.1HG0002020	HORVU1Hr1G001570
HORVU.MOREX.r3.1HG0002040	HORVU1Hr1G001560
HORVU.MOREX.r3.1HG0002080	HORVU1Hr1G001770
HORVU.MOREX.r3.1HG0002090	HORVU1Hr1G001770
HORVU.MOREX.r3.1HG0002100	HORVU1Hr1G001710
HORVU.MOREX.r3.1HG0002130	HORVU1Hr1G001750
HORVU.MOREX.r3.1HG0002160	HORVU1Hr1G001760
HORVU.MOREX.r3.1HG0002200	HORVU0Hr1G036610
HORVU.MOREX.r3.1HG0002260	HORVU1Hr1G001960
HORVU.MOREX.r3.1HG0002280	HORVU1Hr1G001950
HORVU.MOREX.r3.1HG0002320	HORVU1Hr1G001920
HORVU.MOREX.r3.1HG0002330	HORVU1Hr1G001910
HORVU.MOREX.r3.1HG0002340	HORVU1Hr1G001890
HORVU.MOREX.r3.1HG0002350	HORVU1Hr1G001890
