VIT_01s0011g00230	Vitvi01g00024
VIT_01s0011g00410	Vitvi01g00037
VIT_01s0011g00690	Vitvi01g00061
VIT_01s0011g01290	Vitvi01g00103
VIT_01s0011g01320	Vitvi01g00106
VIT_01s0011g01480	Vitvi01g00119
VIT_01s0011g01990	Vitvi01g00157
VIT_01s0011g02020	Vitvi01g00159
VIT_01s0011g02200	Vitvi01g00175
VIT_01s0011g02230	Vitvi01g00178
VIT_01s0011g03070	Vitvi01g00244
VIT_01s0011g03090	Vitvi01g00246
VIT_01s0011g03500	Vitvi01g00286
VIT_01s0011g03520	Vitvi01g00288
VIT_01s0011g04350	Vitvi01g00360
VIT_01s0011g04370	Vitvi01g00362
VIT_01s0011g04400	Vitvi01g00366
VIT_01s0011g04520	Vitvi01g00376
VIT_01s0011g04630	Vitvi01g00385
VIT_01s0011g04640	Vitvi01g00386
VIT_01s0011g04800	Vitvi01g00405
VIT_01s0011g04860	Vitvi01g00411
VIT_01s0011g05200	Vitvi01g00441
VIT_01s0011g05210	Vitvi01g00442
VIT_01s0011g05220	Vitvi01g00443
VIT_01s0011g05260	Vitvi01g00446
VIT_01s0011g05370	Vitvi01g00455
VIT_01s0011g05860	Vitvi01g00502
VIT_01s0011g05960	Vitvi01g00509
VIT_01s0011g06260	Vitvi01g00536
VIT_01s0011g06400	Vitvi01g00552
VIT_01s0011g06610	Vitvi01g02013
VIT_01s0137g00080	Vitvi01g04135
VIT_00s0225g00090	Vitvi01g00658
VIT_00s0225g00130	Vitvi01g00662
VIT_00s0225g00140	Vitvi01g00663
VIT_00s0225g00150	Vitvi01g00664
VIT_00s0225g00230	Vitvi01g00672
VIT_01s0127g00420	Vitvi01g00711
VIT_01s0127g00490	Vitvi01g00716
VIT_01s0127g00720	Vitvi01g00735
VIT_01s0127g00750	Vitvi01g00739
VIT_01s0127g00770	Vitvi01g00740
VIT_01s0127g00780	Vitvi01g00741
VIT_01s0127g00800	Vitvi01g00742
VIT_01s0127g00860	Vitvi01g00746
VIT_01s0026g00210	Vitvi01g00785
VIT_01s0026g00220	Vitvi01g00787
VIT_01s0026g00280	Vitvi01g00793
VIT_01s0026g00380	Vitvi01g02082
VIT_01s0026g00710	Vitvi01g00830
VIT_01s0026g01080	Vitvi01g00870
VIT_01s0026g01650	Vitvi01g00930
VIT_01s0026g02290	Vitvi01g00992
VIT_01s0026g02310	Vitvi01g00993
VIT_01s0182g00160	Vitvi01g01079
VIT_01s0010g00480	Vitvi01g01280
VIT_01s0010g00950	Vitvi01g01346
VIT_01s0010g01110	Vitvi01g01361
VIT_01s0010g02030	Vitvi01g01476
VIT_01s0010g02090	Vitvi01g01492
VIT_01s0010g02100	Vitvi01g01493
VIT_01s0010g02350	Vitvi01g01521
VIT_01s0010g02460	Vitvi01g01538
VIT_01s0010g02690	Vitvi01g01559
VIT_01s0010g03300	Vitvi01g01618
VIT_01s0010g03940	Vitvi01g01682
VIT_01s0146g00450	Vitvi01g01738
VIT_01s0244g00140	Vitvi01g01758
VIT_01s0150g00390	Vitvi01g01799
VIT_02s0025g00270	Vitvi02g00023
VIT_02s0025g00370	Vitvi02g00034
VIT_02s0025g00510	Vitvi02g00048
VIT_02s0025g01280	Vitvi02g00114
VIT_02s0025g01560	Vitvi02g00143
VIT_02s0025g01580	Vitvi02g00145
VIT_02s0025g02150	Vitvi02g00188
VIT_02s0025g02170	Vitvi02g00191
VIT_02s0025g02500	Vitvi02g01365
VIT_02s0025g02510	Vitvi02g04050
VIT_02s0025g03260	Vitvi02g00295
VIT_02s0025g03310	Vitvi02g00301
VIT_02s0025g03410	Vitvi02g00313
VIT_02s0025g04000	Vitvi02g00370
VIT_02s0025g04140	Vitvi02g00383
VIT_02s0025g04170	Vitvi02g00387
VIT_02s0025g04440	Vitvi02g04095
VIT_02s0025g04460	Vitvi02g00407
VIT_02s0025g04580	Vitvi02g00420
VIT_02s0025g04720	Vitvi02g00435
VIT_02s0025g04910	Vitvi02g00449
VIT_02s0025g04930	Vitvi02g00451
VIT_02s0154g00090	Vitvi02g00512
VIT_00s0229g00140	Vitvi02g00569
VIT_00s0229g00180	Vitvi02g00573
VIT_00s0551g00010	Vitvi02g01713
VIT_02s0012g00290	Vitvi02g01471
VIT_02s0012g00620	Vitvi02g00642
VIT_02s0012g01120	Vitvi02g00680
VIT_02s0012g01140	Vitvi02g00682
VIT_02s0012g01210	Vitvi02g00688
VIT_02s0012g01320	Vitvi02g00698
VIT_02s0012g01640	Vitvi02g00724
VIT_02s0012g01800	Vitvi02g00738
VIT_02s0012g02160	Vitvi02g00785
VIT_02s0109g00080	Vitvi02g00915
VIT_02s0109g00430	Vitvi02g00963
VIT_02s0033g00630	Vitvi02g01602
VIT_02s0033g00660	Vitvi02g01607
VIT_02s0033g00670	Vitvi02g01609
VIT_02s0033g00700	Vitvi02g01067
VIT_02s0033g00770	Vitvi02g01613
VIT_02s0033g00790	Vitvi02g01614
VIT_02s0033g00800	Vitvi02g01615
VIT_02s0033g00850	Vitvi02g01618
VIT_02s0033g00870	Vitvi02g01621
VIT_02s0087g00710	Vitvi02g01269
VIT_03s0038g00300	Vitvi03g00023
VIT_03s0038g00310	Vitvi03g00024
VIT_03s0038g00340	Vitvi03g00026
VIT_03s0038g00450	Vitvi03g00034
VIT_03s0038g00500	Vitvi03g00038
VIT_03s0038g00550	Vitvi03g00040
VIT_03s0038g00760	Vitvi03g00054
VIT_03s0038g00820	Vitvi03g00057
VIT_03s0038g01440	Vitvi03g00085
VIT_03s0038g01780	Vitvi03g00097
VIT_03s0038g02370	Vitvi03g04064
VIT_03s0038g02380	Vitvi03g00143
VIT_03s0038g02510	Vitvi03g00154
VIT_03s0038g02520	Vitvi03g00155
VIT_03s0038g02540	Vitvi03g00157
VIT_03s0038g02920	Vitvi03g00185
VIT_03s0038g03120	Vitvi03g00197
VIT_03s0038g03230	Vitvi03g00200
VIT_03s0038g03250	Vitvi03g00203
VIT_03s0038g03270	Vitvi03g00205
VIT_03s0038g04010	Vitvi03g00254
VIT_03s0038g04100	Vitvi03g00262
VIT_03s0038g04120	Vitvi03g00264
VIT_03s0038g04240	Vitvi03g00273
VIT_03s0038g04370	Vitvi03g00287
VIT_03s0038g04500	Vitvi03g04109
VIT_03s0038g04570	Vitvi03g00304
VIT_03s0063g02650	Vitvi03g00321
VIT_03s0063g02480	Vitvi03g00343
VIT_03s0063g02080	Vitvi03g00370
VIT_03s0063g01110	Vitvi03g01544
VIT_03s0063g01080	Vitvi03g00452
VIT_03s0063g00390	Vitvi03g00505
VIT_03s0180g00040	Vitvi03g00542
VIT_03s0180g00250	Vitvi03g00561
VIT_03s0180g00260	Vitvi03g00564
VIT_03s0091g00460	Vitvi03g00602
VIT_03s0088g01040	Vitvi03g00773
VIT_03s0088g01250	Vitvi03g00792
VIT_03s0132g00200	Vitvi03g00895
VIT_03s0038g00370	Vitvi03g00996
VIT_03s0017g00270	Vitvi03g01047
VIT_03s0017g00550	Vitvi03g01080
VIT_03s0017g00650	Vitvi03g01092
VIT_03s0017g00980	Vitvi03g01138
VIT_03s0017g01330	Vitvi03g01188
VIT_03s0017g01670	Vitvi03g04482
VIT_03s0017g01700	Vitvi03g01231
VIT_03s0017g01980	Vitvi03g01259
VIT_04s0008g00900	Vitvi04g00076
VIT_04s0008g01100	Vitvi04g00091
VIT_04s0008g01300	Vitvi04g00112
VIT_04s0008g01420	Vitvi04g00127
VIT_04s0008g02570	Vitvi04g00223
VIT_04s0008g02780	Vitvi04g00243
VIT_04s0008g02830	Vitvi04g00249
VIT_04s0008g03050	Vitvi04g00267
VIT_04s0008g03380	Vitvi04g00298
VIT_04s0008g03610	Vitvi04g00314
VIT_04s0008g03770	Vitvi04g00328
VIT_04s0008g03920	Vitvi04g00340
VIT_04s0008g04180	Vitvi04g00359
VIT_04s0008g04870	Vitvi04g00430
