SORBI_3001G000100	Sobic.001G000100	Sb01g000200	-
SORBI_3001G000700	Sobic.001G000700	Sb01g000230	-
SORBI_3001G000800	Sobic.001G000800	Sb01g000240	-
SORBI_3001G001800	Sobic.001G001800	Sb01g000290	-
SORBI_3001G002000	Sobic.001G002000	Sb01g000310	-
SORBI_3001G002400	Sobic.001G002400	Sb01g000350	-
SORBI_3001G003400	Sobic.001G003400	Sb01g000410	-
SORBI_3001G003600	Sobic.001G003600	Sb01g000430	-
SORBI_3001G003700	Sobic.001G003700	Sb01g000440	-
SORBI_3001G004000	Sobic.001G004000	Sb01g000450	-
SORBI_3001G004600	Sobic.001G004600	Sb01g000510	-
SORBI_3001G004700	Sobic.001G004700	Sb01g000520	-
SORBI_3001G005500	Sobic.001G005500	Sb01g000590	-
SORBI_3001G005900	Sobic.001G005900	Sb01g000630	-
SORBI_3001G006000	Sobic.001G006000	Sb01g000640	-
SORBI_3001G006101	Sobic.001G006101	Sb01g000650	-
SORBI_3001G006201	Sobic.001G006201	Sb01g000660	-
SORBI_3001G006300	Sobic.001G006300	Sb01g000670	-
SORBI_3001G007300	Sobic.001G007300	Sb01g000740	-
SORBI_3001G007400	Sobic.001G007400	Sb01g000750	-
SORBI_3001G007600	Sobic.001G007600	Sb01g000770	-
SORBI_3001G007900	Sobic.001G007900	Sb01g000790	-
SORBI_3001G008100	Sobic.001G008100	Sb01g000810	-
SORBI_3001G008300	Sobic.001G008300	Sb01g000830	-
SORBI_3001G008500	Sobic.001G008500	Sb01g000850	-
SORBI_3001G008600	Sobic.001G008600	Sb01g000860	-
SORBI_3001G008900	Sobic.001G008900	Sb01g000890	-
SORBI_3001G009500	Sobic.001G009500	Sb01g000930	-
SORBI_3001G009800	Sobic.001G009800	Sb01g000960	-
SORBI_3001G010200	Sobic.001G010200	Sb01g001000	-
SORBI_3001G010500	Sobic.001G010500	Sb01g001030	-
SORBI_3001G010700	Sobic.001G010700	Sb01g001050	-
SORBI_3001G011300	Sobic.001G011300	Sb01g001110	-
SORBI_3001G011600	Sobic.001G011600	Sb01g001130	-
SORBI_3001G012100	Sobic.001G012100	Sb01g001170	-
SORBI_3001G012900	Sobic.001G012900	Sb01g001270	-
SORBI_3001G013100	Sobic.001G013100	Sb01g001290	-
SORBI_3001G013600	Sobic.001G013600	Sb01g001340	-
SORBI_3001G014700	Sobic.001G014700	Sb01g001430	-
SORBI_3001G014800	Sobic.001G014800	Sb01g001440	-
SORBI_3001G015000	Sobic.001G015000	Sb01g001460	-
SORBI_3001G015300	Sobic.001G015300	Sb01g001490	-
SORBI_3001G015600	Sobic.001G015600	Sb01g001530	-
SORBI_3001G015700	Sobic.001G015700	Sb01g001540	-
SORBI_3001G016100	Sobic.001G016100	Sb01g001570	-
SORBI_3001G016400	Sobic.001G016400	Sb01g001600	-
SORBI_3001G016500	Sobic.001G016500	Sb01g001610	-
SORBI_3001G017300	Sobic.001G017300	Sb01g001680	-
SORBI_3001G017500	Sobic.001G017500	Sb01g001700	-
SORBI_3001G018350	Sobic.001G018350	Sb01g001790	-
SORBI_3001G018400	Sobic.001G018400	Sb01g001800	-
SORBI_3001G018700	Sobic.001G018700	Sb01g001830	-
SORBI_3001G019100	Sobic.001G019100	Sb01g001860	-
SORBI_3001G019300	Sobic.001G019300	Sb01g001880	-
SORBI_3001G019700	Sobic.001G019700	Sb01g001900	-
SORBI_3001G020500	Sobic.001G020500	Sb01g001980	-
SORBI_3001G021700	Sobic.001G021700	Sb01g002060	-
SORBI_3001G021800	Sobic.001G021800	Sb01g002070	-
SORBI_3001G022100	Sobic.001G022100	Sb01g002100	-
SORBI_3001G022300	Sobic.001G022300	Sb01g002120	-
SORBI_3001G022400	Sobic.001G022400	Sb01g002130	-
SORBI_3001G022600	Sobic.001G022600	Sb01g002150	-
SORBI_3001G022700	Sobic.001G022700	Sb01g002160	-
SORBI_3001G023200	Sobic.001G023200	Sb01g002210	-
SORBI_3001G023500	Sobic.001G023500	Sb01g002240	-
SORBI_3001G023900	Sobic.001G023900	Sb01g002270	-
SORBI_3001G024300	Sobic.001G024300	Sb01g002320	-
SORBI_3001G024400	Sobic.001G024400	Sb01g002330	-
SORBI_3001G024500	Sobic.001G024500	Sb01g002340	-
SORBI_3001G024700	Sobic.001G024700	Sb01g002360	-
SORBI_3001G024800	Sobic.001G024800	Sb01g002370	-
SORBI_3001G024900	Sobic.001G024900	Sb01g002380	-
SORBI_3001G025700	Sobic.001G025700	Sb01g002450	-
SORBI_3001G026000	Sobic.001G026000	Sb01g002480	-
SORBI_3001G026700	Sobic.001G026700	Sb01g002540	-
SORBI_3001G027300	Sobic.001G027300	Sb01g002590	-
SORBI_3001G027500	Sobic.001G027500	Sb01g002600	-
SORBI_3001G027700	Sobic.001G027700	Sb01g002620	-
SORBI_3001G028600	Sobic.001G028600	Sb01g002700	-
SORBI_3001G028700	Sobic.001G028700	Sb01g002710	-
SORBI_3001G028800	Sobic.001G028800	Sb01g002720	-
SORBI_3001G029100	Sobic.001G029100	Sb01g002740	-
SORBI_3001G029800	Sobic.001G029800	Sb01g002790	-
SORBI_3001G030100	Sobic.001G030100	Sb01g002820	-
SORBI_3001G031000	Sobic.001G031000	Sb01g002900	-
SORBI_3001G031200	Sobic.001G031200	Sb01g002920	-
SORBI_3001G031400	Sobic.001G031400	Sb01g002940	-
SORBI_3001G031700	Sobic.001G031700	Sb01g002960	-
SORBI_3001G032000	Sobic.001G032000	Sb01g002990	-
SORBI_3001G032300	Sobic.001G032300	Sb01g003020	-
SORBI_3001G032400	Sobic.001G032400	Sb01g003030	-
SORBI_3001G032700	Sobic.001G032700	Sb01g003060	-
SORBI_3001G032900	Sobic.001G032900	Sb01g003080	-
